,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,m0,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11,m12,m13,m14,m15,m16,m17,m18,m19,m20,m21,m22,m23,m24,m25,m26,m27,m28,m29,m30,m31,m32,m33,m34,m35,m36,m37,m38,m39,m40,m41,m42,m43,m44,m45,m46,m47,m48,m49,m50,m51,m52,m53,m54,m55,m56,m57,m58,m59,m60,m61,m62,m63,m64,m65,m66,m67,m68,m69,m70,m71,m72,m73,m74,m75,m76,m77,m78,m79,m80,m81,m82,m83,m84,m85,m86,m87,m88,m89,m90,m91,m92,m93,m94,m95,m96,m97,m98,m99,m100,m101,m102,m103,m104,m105,m106,m107,m108,m109,m110,m111,m112,m113,m114,m115,m116,m117,m118,m119,m120,m121,m122,m123,m124,m125,m126,m127,m128,m129,m130,m131,m132,m133,m134,m135,m136,m137,m138,m139,m140,m141,m142,m143,m144,m145,m146,m147,m148,m149,m150,m151,m152,m153,m154,m155,m156,m157,m158,m159,m160,m161,m162,m163,m164,m165,m166,m167,m168,m169,m170,m171,m172,m173,m174,m175,m176,m177,m178,m179,m180,m181,m182,m183,m184,m185,m186,m187
m150,24.0,58.0,33.0,8.0,13.0,42.0,22.0,25.0,13.0,7.0,39.0,34.0,29.0,36.0,35.0,17.0,6.0,51.0,51.0,38.0,15.0,21.0,17.0,17.0,29.0,26.0,15.0,42.0,30.0,28.0,41.0,29.0,15.0,10.0,5.0,17.0,20.0,6.0,23.0,16.0,12.0,41.0,26.0,39.0,14.0,28.0,32.0,31.0,29.0,33.0,7.0,20.0,8.0,10.0,14.0,5.0,11.0,24.0,34.0,38.0,37.0,25.0,15.0,39.0,38.0,50.0,45.0,35.0,44.0,44.0,43.0,40.0,38.0,42.0,37.0,7.0,9.0,6.0,8.0,20.0,25.0,28.0,30.0,23.0,29.0,33.0,43.0,42.0,9.0,7.0,26.0,18.0,39.0,29.0,35.0,36.0,49.0,48.0,47.0,40.0,56.0,41.0,40.0,39.0,25.0,23.0,20.0,18.0,19.0,29.0,28.0,34.0,32.0,42.0,41.0,8.0,6.0,17.0,22.0,32.0,25.0,31.0,35.0,45.0,44.0,46.0,22.0,20.0,17.0,19.0,15.0,16.0,31.0,32.0,30.0,27.0,25.0,26.0,16.0,45.0,44.0,55.0,31.0,47.0,40.0,41.0,38.0,48.0,47.0,54.0,53.0,12.0,14.0,11.0,12.0,12.0,2.0,4.0,3.0,3.0,4.0,6.0,5.0,5.0,20.0,27.0,11.0,24.0,14.0,15.0,0.0,2.0,1.0,8.0,1.0,3.0,2.0,1.0,22.0,13.0,10.0,11.0,26.0,16.0,13.0,14.0,2.0,21.0,25.0,17.0,41.0,37.0,30.0,24.0,19.0,23.0,38.0,47.0,43.0,25.0,20.0,24.0,48.0,44.0,25.0,16.0,29.0,19.0
m151,22.0,56.0,31.0,10.0,11.0,40.0,20.0,25.0,15.0,9.0,37.0,32.0,27.0,38.0,33.0,19.0,8.0,49.0,49.0,36.0,13.0,19.0,15.0,15.0,27.0,24.0,13.0,40.0,28.0,26.0,39.0,27.0,15.0,12.0,7.0,19.0,18.0,8.0,21.0,14.0,10.0,39.0,24.0,37.0,12.0,26.0,30.0,29.0,27.0,31.0,9.0,22.0,10.0,8.0,16.0,7.0,9.0,22.0,32.0,36.0,35.0,23.0,17.0,37.0,36.0,48.0,43.0,33.0,42.0,42.0,41.0,38.0,36.0,40.0,35.0,5.0,7.0,6.0,8.0,18.0,23.0,26.0,28.0,21.0,27.0,31.0,41.0,40.0,7.0,5.0,24.0,16.0,37.0,27.0,33.0,34.0,47.0,46.0,45.0,38.0,54.0,39.0,38.0,37.0,23.0,21.0,18.0,16.0,17.0,27.0,26.0,32.0,30.0,40.0,39.0,8.0,6.0,17.0,20.0,30.0,23.0,29.0,33.0,43.0,42.0,44.0,20.0,18.0,15.0,17.0,13.0,14.0,29.0,30.0,28.0,25.0,23.0,24.0,18.0,43.0,42.0,53.0,29.0,45.0,38.0,39.0,36.0,46.0,45.0,52.0,51.0,12.0,16.0,13.0,14.0,10.0,4.0,2.0,3.0,5.0,6.0,4.0,5.0,7.0,20.0,29.0,11.0,24.0,14.0,13.0,2.0,0.0,1.0,10.0,3.0,1.0,2.0,3.0,24.0,15.0,12.0,13.0,28.0,18.0,15.0,16.0,4.0,19.0,23.0,19.0,39.0,35.0,32.0,26.0,21.0,25.0,36.0,45.0,41.0,27.0,22.0,26.0,46.0,42.0,27.0,18.0,31.0,21.0
m152,23.0,57.0,32.0,9.0,12.0,41.0,21.0,24.0,14.0,8.0,38.0,33.0,28.0,37.0,34.0,18.0,7.0,50.0,50.0,37.0,14.0,20.0,16.0,16.0,28.0,25.0,14.0,41.0,29.0,27.0,40.0,28.0,14.0,11.0,6.0,18.0,19.0,7.0,22.0,15.0,11.0,40.0,25.0,38.0,13.0,27.0,31.0,30.0,28.0,32.0,8.0,21.0,9.0,9.0,15.0,6.0,10.0,23.0,33.0,37.0,36.0,24.0,16.0,38.0,37.0,49.0,44.0,34.0,43.0,43.0,42.0,39.0,37.0,41.0,36.0,6.0,8.0,5.0,7.0,19.0,24.0,27.0,29.0,22.0,28.0,32.0,42.0,41.0,8.0,6.0,25.0,17.0,38.0,28.0,34.0,35.0,48.0,47.0,46.0,39.0,55.0,40.0,39.0,38.0,24.0,22.0,19.0,17.0,18.0,28.0,27.0,33.0,31.0,41.0,40.0,7.0,5.0,16.0,21.0,31.0,24.0,30.0,34.0,44.0,43.0,45.0,21.0,19.0,16.0,18.0,14.0,15.0,30.0,31.0,29.0,26.0,24.0,25.0,17.0,44.0,43.0,54.0,30.0,46.0,39.0,40.0,37.0,47.0,46.0,53.0,52.0,11.0,15.0,12.0,13.0,11.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,6.0,19.0,28.0,10.0,23.0,13.0,14.0,1.0,1.0,0.0,9.0,2.0,2.0,1.0,2.0,23.0,14.0,11.0,12.0,27.0,17.0,14.0,15.0,3.0,20.0,24.0,18.0,40.0,36.0,31.0,25.0,20.0,24.0,37.0,46.0,42.0,26.0,21.0,25.0,47.0,43.0,26.0,17.0,30.0,20.0
m153,32.0,52.0,31.0,14.0,21.0,50.0,30.0,33.0,19.0,1.0,47.0,42.0,27.0,42.0,43.0,9.0,2.0,59.0,59.0,46.0,23.0,29.0,25.0,11.0,37.0,20.0,13.0,50.0,38.0,36.0,49.0,37.0,23.0,16.0,13.0,23.0,28.0,12.0,31.0,24.0,20.0,49.0,34.0,47.0,22.0,36.0,40.0,39.0,37.0,41.0,15.0,26.0,14.0,18.0,22.0,3.0,19.0,32.0,42.0,46.0,45.0,33.0,21.0,47.0,46.0,58.0,43.0,29.0,42.0,38.0,41.0,48.0,46.0,40.0,45.0,15.0,17.0,14.0,16.0,28.0,33.0,36.0,38.0,31.0,37.0,41.0,51.0,50.0,3.0,5.0,34.0,12.0,47.0,37.0,43.0,44.0,57.0,56.0,41.0,48.0,50.0,49.0,48.0,47.0,19.0,21.0,28.0,26.0,27.0,37.0,36.0,28.0,40.0,50.0,49.0,2.0,4.0,11.0,30.0,40.0,33.0,39.0,43.0,53.0,52.0,40.0,16.0,18.0,25.0,27.0,23.0,24.0,25.0,26.0,28.0,35.0,33.0,34.0,10.0,39.0,38.0,49.0,25.0,55.0,34.0,35.0,46.0,56.0,55.0,48.0,47.0,20.0,20.0,19.0,18.0,20.0,10.0,12.0,11.0,9.0,12.0,14.0,13.0,11.0,28.0,33.0,19.0,32.0,22.0,23.0,8.0,10.0,9.0,0.0,9.0,11.0,10.0,7.0,28.0,19.0,18.0,17.0,32.0,22.0,21.0,20.0,8.0,29.0,33.0,23.0,49.0,45.0,36.0,32.0,27.0,31.0,46.0,55.0,51.0,31.0,26.0,30.0,56.0,52.0,31.0,22.0,35.0,25.0
m154,23.0,59.0,34.0,7.0,12.0,41.0,21.0,24.0,12.0,8.0,40.0,33.0,30.0,35.0,34.0,18.0,7.0,50.0,50.0,37.0,14.0,20.0,16.0,18.0,28.0,27.0,16.0,41.0,29.0,29.0,40.0,28.0,14.0,9.0,4.0,16.0,19.0,5.0,22.0,15.0,11.0,40.0,25.0,38.0,13.0,27.0,31.0,30.0,28.0,32.0,6.0,19.0,7.0,11.0,13.0,6.0,10.0,25.0,33.0,37.0,36.0,24.0,14.0,38.0,37.0,49.0,46.0,36.0,45.0,45.0,44.0,39.0,39.0,43.0,38.0,6.0,8.0,5.0,7.0,19.0,24.0,27.0,29.0,22.0,28.0,32.0,42.0,41.0,10.0,8.0,25.0,19.0,38.0,28.0,34.0,35.0,48.0,47.0,48.0,41.0,57.0,40.0,39.0,38.0,26.0,24.0,19.0,19.0,18.0,28.0,27.0,35.0,31.0,41.0,40.0,9.0,7.0,18.0,21.0,31.0,24.0,30.0,34.0,44.0,43.0,47.0,23.0,21.0,16.0,18.0,16.0,15.0,32.0,33.0,31.0,26.0,26.0,25.0,17.0,46.0,45.0,56.0,32.0,46.0,41.0,42.0,37.0,47.0,46.0,55.0,54.0,11.0,13.0,10.0,11.0,11.0,1.0,3.0,2.0,2.0,3.0,5.0,4.0,4.0,19.0,26.0,10.0,23.0,13.0,14.0,1.0,3.0,2.0,9.0,0.0,2.0,1.0,2.0,21.0,12.0,9.0,10.0,25.0,15.0,12.0,13.0,1.0,20.0,24.0,16.0,40.0,36.0,29.0,23.0,18.0,22.0,37.0,46.0,42.0,24.0,19.0,23.0,47.0,43.0,24.0,15.0,28.0,18.0
m155,21.0,57.0,32.0,9.0,10.0,39.0,19.0,24.0,14.0,10.0,38.0,31.0,28.0,37.0,32.0,20.0,9.0,48.0,48.0,35.0,12.0,18.0,14.0,16.0,26.0,25.0,14.0,39.0,27.0,27.0,38.0,26.0,14.0,11.0,6.0,18.0,17.0,7.0,20.0,13.0,9.0,38.0,23.0,36.0,11.0,25.0,29.0,28.0,26.0,30.0,8.0,21.0,9.0,9.0,15.0,8.0,8.0,23.0,31.0,35.0,34.0,22.0,16.0,36.0,35.0,47.0,44.0,34.0,43.0,43.0,42.0,37.0,37.0,41.0,36.0,4.0,6.0,5.0,7.0,17.0,22.0,25.0,27.0,20.0,26.0,30.0,40.0,39.0,8.0,6.0,23.0,17.0,36.0,26.0,32.0,33.0,46.0,45.0,46.0,39.0,55.0,38.0,37.0,36.0,24.0,22.0,17.0,17.0,16.0,26.0,25.0,33.0,29.0,39.0,38.0,9.0,7.0,18.0,19.0,29.0,22.0,28.0,32.0,42.0,41.0,45.0,21.0,19.0,14.0,16.0,14.0,13.0,30.0,31.0,29.0,24.0,24.0,23.0,19.0,44.0,43.0,54.0,30.0,44.0,39.0,40.0,35.0,45.0,44.0,53.0,52.0,11.0,15.0,12.0,13.0,9.0,3.0,1.0,2.0,4.0,5.0,3.0,4.0,6.0,19.0,28.0,10.0,23.0,13.0,12.0,3.0,1.0,2.0,11.0,2.0,0.0,1.0,4.0,23.0,14.0,11.0,12.0,27.0,17.0,14.0,15.0,3.0,18.0,22.0,18.0,38.0,34.0,31.0,25.0,20.0,24.0,35.0,44.0,40.0,26.0,21.0,25.0,45.0,41.0,26.0,17.0,30.0,20.0
m156,22.0,58.0,33.0,8.0,11.0,40.0,20.0,23.0,13.0,9.0,39.0,32.0,29.0,36.0,33.0,19.0,8.0,49.0,49.0,36.0,13.0,19.0,15.0,17.0,27.0,26.0,15.0,40.0,28.0,28.0,39.0,27.0,13.0,10.0,5.0,17.0,18.0,6.0,21.0,14.0,10.0,39.0,24.0,37.0,12.0,26.0,30.0,29.0,27.0,31.0,7.0,20.0,8.0,10.0,14.0,7.0,9.0,24.0,32.0,36.0,35.0,23.0,15.0,37.0,36.0,48.0,45.0,35.0,44.0,44.0,43.0,38.0,38.0,42.0,37.0,5.0,7.0,4.0,6.0,18.0,23.0,26.0,28.0,21.0,27.0,31.0,41.0,40.0,9.0,7.0,24.0,18.0,37.0,27.0,33.0,34.0,47.0,46.0,47.0,40.0,56.0,39.0,38.0,37.0,25.0,23.0,18.0,18.0,17.0,27.0,26.0,34.0,30.0,40.0,39.0,8.0,6.0,17.0,20.0,30.0,23.0,29.0,33.0,43.0,42.0,46.0,22.0,20.0,15.0,17.0,15.0,14.0,31.0,32.0,30.0,25.0,25.0,24.0,18.0,45.0,44.0,55.0,31.0,45.0,40.0,41.0,36.0,46.0,45.0,54.0,53.0,10.0,14.0,11.0,12.0,10.0,2.0,2.0,1.0,3.0,4.0,4.0,3.0,5.0,18.0,27.0,9.0,22.0,12.0,13.0,2.0,2.0,1.0,10.0,1.0,1.0,0.0,3.0,22.0,13.0,10.0,11.0,26.0,16.0,13.0,14.0,2.0,19.0,23.0,17.0,39.0,35.0,30.0,24.0,19.0,23.0,36.0,45.0,41.0,25.0,20.0,24.0,46.0,42.0,25.0,16.0,29.0,19.0
m157,25.0,59.0,34.0,7.0,14.0,43.0,23.0,26.0,12.0,8.0,40.0,35.0,30.0,35.0,36.0,16.0,5.0,52.0,52.0,39.0,16.0,22.0,18.0,18.0,30.0,27.0,16.0,43.0,31.0,29.0,42.0,30.0,16.0,9.0,6.0,16.0,21.0,5.0,24.0,17.0,13.0,42.0,27.0,40.0,15.0,29.0,33.0,32.0,30.0,34.0,8.0,19.0,7.0,11.0,15.0,6.0,12.0,25.0,35.0,39.0,38.0,26.0,14.0,40.0,39.0,51.0,46.0,36.0,45.0,45.0,44.0,41.0,39.0,43.0,38.0,8.0,10.0,7.0,9.0,21.0,26.0,29.0,31.0,24.0,30.0,34.0,44.0,43.0,10.0,8.0,27.0,19.0,40.0,30.0,36.0,37.0,50.0,49.0,48.0,41.0,57.0,42.0,41.0,40.0,26.0,24.0,21.0,19.0,20.0,30.0,29.0,35.0,33.0,43.0,42.0,9.0,7.0,18.0,23.0,33.0,26.0,32.0,36.0,46.0,45.0,47.0,23.0,21.0,18.0,20.0,16.0,17.0,32.0,33.0,31.0,28.0,26.0,27.0,17.0,46.0,45.0,56.0,32.0,48.0,41.0,42.0,39.0,49.0,48.0,55.0,54.0,13.0,13.0,12.0,11.0,13.0,3.0,5.0,4.0,2.0,5.0,7.0,6.0,4.0,21.0,26.0,12.0,25.0,15.0,16.0,1.0,3.0,2.0,7.0,2.0,4.0,3.0,0.0,21.0,12.0,11.0,10.0,25.0,15.0,14.0,13.0,1.0,22.0,26.0,16.0,42.0,38.0,29.0,25.0,20.0,24.0,39.0,48.0,44.0,24.0,19.0,23.0,49.0,45.0,24.0,15.0,28.0,18.0
m158,18.0,80.0,55.0,14.0,13.0,60.0,36.0,9.0,15.0,29.0,61.0,18.0,51.0,14.0,37.0,37.0,26.0,35.0,47.0,58.0,27.0,21.0,25.0,39.0,23.0,48.0,37.0,36.0,48.0,50.0,37.0,49.0,9.0,12.0,17.0,5.0,22.0,16.0,19.0,10.0,30.0,59.0,44.0,57.0,28.0,30.0,26.0,27.0,13.0,17.0,15.0,8.0,14.0,32.0,8.0,27.0,31.0,46.0,36.0,32.0,33.0,45.0,7.0,33.0,34.0,46.0,67.0,57.0,66.0,66.0,65.0,58.0,60.0,64.0,59.0,19.0,17.0,18.0,16.0,32.0,27.0,24.0,42.0,35.0,41.0,45.0,55.0,54.0,31.0,29.0,26.0,40.0,39.0,29.0,35.0,36.0,49.0,48.0,69.0,62.0,78.0,61.0,60.0,59.0,47.0,45.0,38.0,40.0,39.0,43.0,42.0,56.0,46.0,56.0,55.0,30.0,28.0,39.0,30.0,40.0,33.0,39.0,43.0,53.0,52.0,68.0,44.0,42.0,35.0,33.0,37.0,36.0,53.0,54.0,52.0,45.0,47.0,46.0,38.0,67.0,66.0,77.0,53.0,31.0,62.0,63.0,40.0,50.0,49.0,76.0,75.0,12.0,8.0,11.0,10.0,14.0,20.0,22.0,21.0,19.0,18.0,20.0,19.0,17.0,4.0,5.0,13.0,8.0,10.0,11.0,22.0,24.0,23.0,28.0,21.0,23.0,22.0,21.0,0.0,9.0,12.0,11.0,4.0,6.0,9.0,8.0,20.0,5.0,9.0,11.0,25.0,21.0,8.0,8.0,3.0,7.0,22.0,31.0,27.0,7.0,2.0,6.0,32.0,28.0,3.0,12.0,7.0,9.0
m159,17.0,71.0,46.0,5.0,6.0,51.0,27.0,18.0,6.0,20.0,52.0,27.0,42.0,23.0,28.0,28.0,17.0,44.0,44.0,49.0,18.0,14.0,16.0,30.0,22.0,39.0,28.0,35.0,39.0,41.0,34.0,40.0,8.0,3.0,8.0,4.0,13.0,7.0,16.0,9.0,21.0,50.0,35.0,48.0,19.0,21.0,25.0,24.0,22.0,26.0,6.0,7.0,5.0,23.0,7.0,18.0,22.0,37.0,27.0,31.0,30.0,36.0,6.0,32.0,31.0,43.0,58.0,48.0,57.0,57.0,56.0,49.0,51.0,55.0,50.0,10.0,8.0,9.0,7.0,23.0,18.0,21.0,33.0,26.0,32.0,36.0,46.0,45.0,22.0,20.0,19.0,31.0,32.0,22.0,28.0,29.0,42.0,41.0,60.0,53.0,69.0,52.0,51.0,50.0,38.0,36.0,29.0,31.0,30.0,34.0,33.0,47.0,37.0,47.0,46.0,21.0,19.0,30.0,21.0,31.0,24.0,30.0,34.0,44.0,43.0,59.0,35.0,33.0,26.0,24.0,28.0,27.0,44.0,45.0,43.0,36.0,38.0,37.0,29.0,58.0,57.0,68.0,44.0,40.0,53.0,54.0,31.0,41.0,40.0,67.0,66.0,5.0,1.0,4.0,3.0,5.0,11.0,13.0,12.0,10.0,9.0,11.0,10.0,8.0,13.0,14.0,4.0,17.0,7.0,8.0,13.0,15.0,14.0,19.0,12.0,14.0,13.0,12.0,9.0,0.0,3.0,2.0,13.0,3.0,6.0,5.0,11.0,14.0,18.0,4.0,34.0,30.0,17.0,17.0,12.0,16.0,31.0,40.0,36.0,16.0,11.0,15.0,41.0,37.0,12.0,3.0,16.0,6.0
m160,14.0,68.0,43.0,8.0,3.0,48.0,24.0,15.0,9.0,17.0,49.0,24.0,39.0,26.0,25.0,27.0,16.0,41.0,41.0,46.0,15.0,11.0,13.0,27.0,19.0,36.0,25.0,32.0,36.0,38.0,31.0,37.0,5.0,6.0,5.0,7.0,10.0,6.0,13.0,6.0,18.0,47.0,32.0,45.0,16.0,18.0,22.0,21.0,19.0,23.0,3.0,10.0,4.0,20.0,4.0,15.0,19.0,34.0,24.0,28.0,27.0,33.0,5.0,29.0,28.0,40.0,55.0,45.0,54.0,54.0,53.0,46.0,48.0,52.0,47.0,7.0,5.0,6.0,4.0,20.0,15.0,18.0,30.0,23.0,29.0,33.0,43.0,42.0,19.0,17.0,16.0,28.0,29.0,19.0,25.0,26.0,39.0,38.0,57.0,50.0,66.0,49.0,48.0,47.0,35.0,33.0,26.0,28.0,27.0,31.0,30.0,44.0,34.0,44.0,43.0,18.0,16.0,27.0,18.0,28.0,21.0,27.0,31.0,41.0,40.0,56.0,32.0,30.0,23.0,21.0,25.0,24.0,41.0,42.0,40.0,33.0,35.0,34.0,26.0,55.0,54.0,65.0,41.0,37.0,50.0,51.0,28.0,38.0,37.0,64.0,63.0,2.0,4.0,1.0,2.0,2.0,8.0,10.0,9.0,9.0,6.0,8.0,7.0,7.0,10.0,17.0,1.0,14.0,4.0,5.0,10.0,12.0,11.0,18.0,9.0,11.0,10.0,11.0,12.0,3.0,0.0,1.0,16.0,6.0,3.0,4.0,10.0,11.0,15.0,7.0,31.0,27.0,20.0,14.0,9.0,13.0,28.0,37.0,33.0,15.0,10.0,14.0,38.0,34.0,15.0,6.0,19.0,9.0
m161,15.0,69.0,44.0,7.0,4.0,49.0,25.0,16.0,8.0,18.0,50.0,25.0,40.0,25.0,26.0,26.0,15.0,42.0,42.0,47.0,16.0,12.0,14.0,28.0,20.0,37.0,26.0,33.0,37.0,39.0,32.0,38.0,6.0,5.0,6.0,6.0,11.0,5.0,14.0,7.0,19.0,48.0,33.0,46.0,17.0,19.0,23.0,22.0,20.0,24.0,4.0,9.0,3.0,21.0,5.0,16.0,20.0,35.0,25.0,29.0,28.0,34.0,4.0,30.0,29.0,41.0,56.0,46.0,55.0,55.0,54.0,47.0,49.0,53.0,48.0,8.0,6.0,7.0,5.0,21.0,16.0,19.0,31.0,24.0,30.0,34.0,44.0,43.0,20.0,18.0,17.0,29.0,30.0,20.0,26.0,27.0,40.0,39.0,58.0,51.0,67.0,50.0,49.0,48.0,36.0,34.0,27.0,29.0,28.0,32.0,31.0,45.0,35.0,45.0,44.0,19.0,17.0,28.0,19.0,29.0,22.0,28.0,32.0,42.0,41.0,57.0,33.0,31.0,24.0,22.0,26.0,25.0,42.0,43.0,41.0,34.0,36.0,35.0,27.0,56.0,55.0,66.0,42.0,38.0,51.0,52.0,29.0,39.0,38.0,65.0,64.0,3.0,3.0,2.0,1.0,3.0,9.0,11.0,10.0,8.0,7.0,9.0,8.0,6.0,11.0,16.0,2.0,15.0,5.0,6.0,11.0,13.0,12.0,17.0,10.0,12.0,11.0,10.0,11.0,2.0,1.0,0.0,15.0,5.0,4.0,3.0,9.0,12.0,16.0,6.0,32.0,28.0,19.0,15.0,10.0,14.0,29.0,38.0,34.0,14.0,9.0,13.0,39.0,35.0,14.0,5.0,18.0,8.0
m162,22.0,84.0,59.0,18.0,17.0,64.0,40.0,5.0,19.0,33.0,65.0,22.0,55.0,10.0,41.0,41.0,30.0,31.0,51.0,62.0,31.0,25.0,29.0,43.0,27.0,52.0,41.0,40.0,52.0,54.0,41.0,53.0,13.0,16.0,21.0,9.0,26.0,20.0,23.0,14.0,34.0,63.0,48.0,61.0,32.0,34.0,30.0,31.0,17.0,13.0,19.0,12.0,18.0,36.0,12.0,31.0,35.0,50.0,40.0,36.0,37.0,49.0,11.0,37.0,38.0,50.0,71.0,61.0,70.0,70.0,69.0,62.0,64.0,68.0,63.0,23.0,21.0,22.0,20.0,36.0,31.0,28.0,46.0,39.0,45.0,49.0,59.0,58.0,35.0,33.0,30.0,44.0,43.0,33.0,39.0,40.0,53.0,52.0,73.0,66.0,82.0,65.0,64.0,63.0,51.0,49.0,42.0,44.0,43.0,47.0,46.0,60.0,50.0,60.0,59.0,34.0,32.0,43.0,34.0,44.0,37.0,43.0,47.0,57.0,56.0,72.0,48.0,46.0,39.0,37.0,41.0,40.0,57.0,58.0,56.0,49.0,51.0,50.0,42.0,71.0,70.0,81.0,57.0,35.0,66.0,67.0,44.0,54.0,53.0,80.0,79.0,16.0,12.0,15.0,14.0,18.0,24.0,26.0,25.0,23.0,22.0,24.0,23.0,21.0,8.0,1.0,17.0,4.0,14.0,15.0,26.0,28.0,27.0,32.0,25.0,27.0,26.0,25.0,4.0,13.0,16.0,15.0,0.0,10.0,13.0,12.0,24.0,9.0,5.0,15.0,21.0,25.0,4.0,4.0,7.0,3.0,18.0,27.0,31.0,3.0,6.0,2.0,28.0,32.0,7.0,16.0,3.0,13.0
m163,14.0,74.0,49.0,8.0,7.0,54.0,30.0,15.0,9.0,23.0,55.0,24.0,45.0,20.0,31.0,31.0,20.0,41.0,41.0,52.0,21.0,15.0,19.0,33.0,19.0,42.0,31.0,32.0,42.0,44.0,31.0,43.0,5.0,6.0,11.0,1.0,16.0,10.0,13.0,6.0,24.0,53.0,38.0,51.0,22.0,24.0,22.0,21.0,19.0,23.0,9.0,4.0,8.0,26.0,4.0,21.0,25.0,40.0,30.0,28.0,27.0,39.0,3.0,29.0,28.0,40.0,61.0,51.0,60.0,60.0,59.0,52.0,54.0,58.0,53.0,13.0,11.0,12.0,10.0,26.0,21.0,18.0,36.0,29.0,35.0,39.0,49.0,48.0,25.0,23.0,20.0,34.0,33.0,23.0,29.0,30.0,43.0,42.0,63.0,56.0,72.0,55.0,54.0,53.0,41.0,39.0,32.0,34.0,33.0,37.0,36.0,50.0,40.0,50.0,49.0,24.0,22.0,33.0,24.0,34.0,27.0,33.0,37.0,47.0,46.0,62.0,38.0,36.0,29.0,27.0,31.0,30.0,47.0,48.0,46.0,39.0,41.0,40.0,32.0,61.0,60.0,71.0,47.0,37.0,56.0,57.0,34.0,44.0,43.0,70.0,69.0,6.0,2.0,5.0,4.0,8.0,14.0,16.0,15.0,13.0,12.0,14.0,13.0,11.0,10.0,11.0,7.0,14.0,4.0,5.0,16.0,18.0,17.0,22.0,15.0,17.0,16.0,15.0,6.0,3.0,6.0,5.0,10.0,0.0,3.0,2.0,14.0,11.0,15.0,5.0,31.0,27.0,14.0,14.0,9.0,13.0,28.0,37.0,33.0,13.0,8.0,12.0,38.0,34.0,9.0,6.0,13.0,3.0
m164,11.0,71.0,46.0,11.0,4.0,51.0,27.0,12.0,12.0,20.0,52.0,21.0,42.0,23.0,28.0,30.0,19.0,38.0,38.0,49.0,18.0,12.0,16.0,30.0,16.0,39.0,28.0,29.0,39.0,41.0,28.0,40.0,2.0,9.0,8.0,4.0,13.0,9.0,10.0,3.0,21.0,50.0,35.0,48.0,19.0,21.0,19.0,18.0,16.0,20.0,6.0,7.0,7.0,23.0,1.0,18.0,22.0,37.0,27.0,25.0,24.0,36.0,2.0,26.0,25.0,37.0,58.0,48.0,57.0,57.0,56.0,49.0,51.0,55.0,50.0,10.0,8.0,9.0,7.0,23.0,18.0,15.0,33.0,26.0,32.0,36.0,46.0,45.0,22.0,20.0,17.0,31.0,30.0,20.0,26.0,27.0,40.0,39.0,60.0,53.0,69.0,52.0,51.0,50.0,38.0,36.0,29.0,31.0,30.0,34.0,33.0,47.0,37.0,47.0,46.0,21.0,19.0,30.0,21.0,31.0,24.0,30.0,34.0,44.0,43.0,59.0,35.0,33.0,26.0,24.0,28.0,27.0,44.0,45.0,43.0,36.0,38.0,37.0,29.0,58.0,57.0,68.0,44.0,34.0,53.0,54.0,31.0,41.0,40.0,67.0,66.0,3.0,5.0,2.0,3.0,5.0,11.0,13.0,12.0,12.0,9.0,11.0,10.0,10.0,7.0,14.0,4.0,11.0,1.0,2.0,13.0,15.0,14.0,21.0,12.0,14.0,13.0,14.0,9.0,6.0,3.0,4.0,13.0,3.0,0.0,1.0,13.0,8.0,12.0,8.0,28.0,24.0,17.0,11.0,6.0,10.0,25.0,34.0,30.0,12.0,7.0,11.0,35.0,31.0,12.0,9.0,16.0,6.0
m165,12.0,72.0,47.0,10.0,5.0,52.0,28.0,13.0,11.0,21.0,53.0,22.0,43.0,22.0,29.0,29.0,18.0,39.0,39.0,50.0,19.0,13.0,17.0,31.0,17.0,40.0,29.0,30.0,40.0,42.0,29.0,41.0,3.0,8.0,9.0,3.0,14.0,8.0,11.0,4.0,22.0,51.0,36.0,49.0,20.0,22.0,20.0,19.0,17.0,21.0,7.0,6.0,6.0,24.0,2.0,19.0,23.0,38.0,28.0,26.0,25.0,37.0,1.0,27.0,26.0,38.0,59.0,49.0,58.0,58.0,57.0,50.0,52.0,56.0,51.0,11.0,9.0,10.0,8.0,24.0,19.0,16.0,34.0,27.0,33.0,37.0,47.0,46.0,23.0,21.0,18.0,32.0,31.0,21.0,27.0,28.0,41.0,40.0,61.0,54.0,70.0,53.0,52.0,51.0,39.0,37.0,30.0,32.0,31.0,35.0,34.0,48.0,38.0,48.0,47.0,22.0,20.0,31.0,22.0,32.0,25.0,31.0,35.0,45.0,44.0,60.0,36.0,34.0,27.0,25.0,29.0,28.0,45.0,46.0,44.0,37.0,39.0,38.0,30.0,59.0,58.0,69.0,45.0,35.0,54.0,55.0,32.0,42.0,41.0,68.0,67.0,4.0,4.0,3.0,2.0,6.0,12.0,14.0,13.0,11.0,10.0,12.0,11.0,9.0,8.0,13.0,5.0,12.0,2.0,3.0,14.0,16.0,15.0,20.0,13.0,15.0,14.0,13.0,8.0,5.0,4.0,3.0,12.0,2.0,1.0,0.0,12.0,9.0,13.0,7.0,29.0,25.0,16.0,12.0,7.0,11.0,26.0,35.0,31.0,11.0,6.0,10.0,36.0,32.0,11.0,8.0,15.0,5.0
